$\lambda_M$,$M_\mathrm{min}$,$M_\mathrm{max}$,$\lambda_\mu$,$\mu_\mathrm{min}$,$\mu_\mathrm{max}$,$\mu_a$,$\sigma_a$,$R$
1.0,0.07881944444444444,0.30277777777777776,0.0002314814814814815,0.5555555555555556,0.9935185185185185,0.060300925925925924,0.6916666666666667,1.0
1.0,0.12310063862585334,0.9483593922043603,0.0004404316229905307,0.26668134772076635,0.8008147985025325,0.302466417088747,0.5892975115613301,1.0
1.0,0.4120603015075377,0.8550753768844221,0.00010050251256281407,0.25668341708542713,0.9633165829145729,0.28623115577889446,0.062311557788944726,1.0
0.9995835935873413,0.2014366021236727,0.4884447220487195,0.06173225067666042,0.2508848636268999,0.43212575473662296,0.8049135956693733,0.5547574432646263,0.9944826150322715
0.6228051618362598,0.7093293843875608,0.27586206896551724,0.0,0.06230167125026444,0.6622593611169875,0.35434736619420354,0.4992595726676539,1.0
0.8832618881467451,0.9683979663044562,0.07317316319409829,0.00019938191606021333,0.6219718871498355,0.7353205064300667,0.386003389492573,0.00538331173362576,1.0
0.1524383439348287,0.008034817542684968,0.2506416694565339,0.0,0.18044861064613324,0.5849793549827028,0.9916303983930365,0.2543242941635978,1.0
0.5014504351305391,0.5437631289386816,0.9127738321496449,0.4040212063619086,0.008902670801240372,0.28958687606281885,0.8481544463339001,0.9746924077223167,0.9852955886766029
0.9139353655741462,0.7492550997020399,0.003667201466880587,0.0,0.014898005959202383,0.03724501489800596,0.6282374512949805,0.44304377721751087,1.0
0.987940234791889,0.8179295624332977,0.10352187833511206,0.0,0.2654215581643543,0.6082177161152614,0.5911419423692637,0.13564567769477054,1.0
0.02820140401839748,0.32110869038973616,0.06572258533042846,0.0033890099249576375,0.00012103606874848704,0.673444686516582,0.9363350278382958,0.5574921326555313,1.0
0.9644015131045663,0.6877870845717373,0.5941637395298568,0.0,0.6969062415563361,0.745271548230208,0.915022966765739,0.5770062145366117,1.0
1.0,0.4669340637839953,0.7444727059283898,0.01790256309919781,0.9329876736450793,0.6990804147916259,0.10692623752690276,0.5346311876345138,1.0
0.27229282067991745,0.6989247311827957,0.9516672097317259,0.0001086130118388183,0.0016291951775822744,0.9171282719669817,0.7335722819593787,0.23797110893885087,1.0
0.25546618330123483,0.29183187946074546,0.7687776141384389,0.0,0.8180582304293644,0.5180695593066728,0.6460858728899966,0.6175371020731846,1.0
0.9856398378691372,0.6113491603937464,0.5738274464389114,0.20856977417486972,0.1429067747539085,0.980081065431384,0.1685002895193978,0.09137232194557035,1.0
1.0,0.5708874458874459,0.5097402597402597,0.0,0.010822510822510822,0.018722943722943725,0.3670995670995671,0.08181818181818182,1.0
1.0,0.01576182136602452,0.281137323580921,0.015658802925723705,0.04275265272483775,0.7345214793448027,0.4218605130318327,0.7583187390542907,1.0
1.0,0.2192702394526796,0.256442417331813,0.0053591790193842645,0.733751425313569,0.825769669327252,0.8844925883694412,0.43340935005701253,1.0
0.004874430433400445,0.9073858217653915,0.8691321394510968,0.09303804175055633,0.6756384444208965,0.6567765179612165,0.8835434989933242,0.9224329765815408,0.9516795591819435
